Frame,C2H6_gas,C2H8_gas,C3H12_gas,CH2O*,CH2_gas,CH3O*,CH3_gas,CH4O*,CH4_gas,CH5_gas,CH_gas,C_gas,H*,H2_gas,H_gas,O*,OH*
1,,,1,,,,,,47,,,,,,,25,
2,,,1,,,,,,47,,,,,,,25,
3,,1,,,,,,,48,,,,,,,25,
4,,1,,,,,,,48,,,,,,,25,
5,,1,,,,,2,,46,,,,,,2,25,
6,,1,,,,,2,,46,,,,,,2,25,
7,,,,,,,3,,46,1,,,,,2,25,
8,,,,,,,3,,47,,,,,1,1,25,
9,,,,,,,5,,45,,,,,1,3,25,
10,,,,,,,5,,45,,,,,1,3,25,
11,,,,,1,,4,,45,,,,,1,4,25,
12,,,,,1,,4,,45,,,,,1,4,25,
13,,,,,1,,4,,45,,,,,1,4,25,
14,,,,,1,,4,,45,,,,,2,2,25,
15,,,,,,,4,,45,,1,,,2,3,25,
16,,,,,,,5,,44,,1,,,1,6,25,
17,,,,,,,7,1,41,,1,,,2,6,24,
18,,,,,,1,6,,42,,1,,,2,6,24,
19,,,,1,1,,5,,43,,,,,1,7,24,
20,,,,1,2,,4,,43,,,,1,1,7,24,
21,,,,1,1,,4,,43,,1,,,1,9,24,
22,,,,1,1,,1,,45,,1,1,,1,10,24,
23,,,,1,1,,2,,44,,1,1,,1,11,24,
24,,,,1,1,,1,,45,,1,1,,1,10,24,
25,,,,,1,1,,,46,,1,1,,1,8,24,
26,,,,,2,1,,,46,,,1,1,1,6,24,
27,,,,,2,1,,,46,,1,,1,1,5,24,
28,,,,,1,1,1,,46,,1,,,1,4,23,1
29,,,,,2,,1,1,46,,,,1,1,2,24,
30,,,,,2,,1,1,46,,,,1,1,2,24,
31,,,,,1,,2,1,45,,1,,1,1,4,24,
32,,,,1,,,3,,45,,1,,,1,6,24,
33,,,,1,,,3,,45,,1,,,1,6,24,
34,,,,1,,,3,,45,,1,,1,1,5,24,
35,,,,,,1,3,,45,,1,,1,1,4,24,
36,,,,,1,1,3,,45,,,,1,1,3,24,
37,,,,,1,1,3,,45,,,,1,1,3,24,
38,,,,,1,1,3,,45,,,,1,1,3,24,
39,,,,,,1,3,,45,,1,,1,1,4,24,
40,,,,,,1,3,,45,,1,,1,1,4,24,
41,,,,,,1,3,,45,,1,,1,1,4,24,
42,,,,,1,1,3,,45,,,,1,1,3,24,
43,,,,,1,1,3,,45,,,,1,1,3,24,
44,,,,,1,,3,1,45,,,,,1,3,24,
45,1,,,,1,,1,1,45,,,,,1,3,24,
46,1,,,,1,,1,1,45,,,,,1,3,24,
47,1,,,,1,,1,1,45,,,,,1,3,24,
48,1,,,,1,,1,1,45,,,,,1,3,24,
49,1,,,,1,,1,1,45,,,,,1,3,24,
50,1,,,,1,1,1,,45,,,,1,1,3,24,
51,1,,,,1,1,1,,45,,,,1,1,3,24,
52,1,,,,1,1,1,,45,,,,1,1,3,24,
53,1,,,,1,1,1,,45,,,,1,1,3,24,
54,1,,,,1,1,1,,45,,,,1,1,3,24,
55,1,,,,1,1,1,,45,,,,1,1,3,24,
56,1,,,,1,1,1,,45,,,,1,1,3,24,
57,1,,,,1,1,1,,45,,,,1,1,3,24,
58,1,,,,1,1,1,,45,,,,1,1,3,24,
59,1,,,,1,1,1,,45,,,,1,1,3,24,
60,1,,,,1,1,1,,45,,,,1,1,3,24,
61,1,,,,1,1,1,,45,,,,1,1,3,24,
62,1,,,,1,1,1,,45,,,,1,1,3,24,
63,1,,,,1,1,1,,45,,,,1,1,3,24,
64,1,,,,1,1,1,,45,,,,1,1,3,24,
65,1,,,,1,1,1,,45,,,,1,1,3,24,
66,1,,,,1,1,1,,45,,,,1,1,3,24,
67,1,,,,1,1,1,,45,,,,1,1,3,24,
68,1,,,,1,1,1,,45,,,,1,1,3,24,
69,1,,,,1,1,1,,45,,,,1,1,3,24,
70,1,,,,1,1,1,,45,,,,1,1,3,24,
71,1,,,,1,1,1,,45,,,,1,1,3,24,
72,1,,,,1,1,1,,45,,,,1,1,3,24,
73,1,,,,1,1,1,,45,,,,1,1,3,24,
74,1,,,,1,1,1,,44,1,,,1,1,2,24,
75,1,,,,1,1,1,,45,,,,1,1,3,24,
76,1,,,,1,1,1,,45,,,,1,1,3,24,
77,1,,,,1,1,1,,45,,,,1,1,3,24,
78,1,,,,1,1,1,,45,,,,1,1,3,24,
79,1,,,,1,1,1,,45,,,,1,1,3,24,
80,1,,,,1,1,1,,45,,,,1,1,3,24,
81,1,,,,1,1,1,,45,,,,1,1,3,24,
82,1,,,,1,1,1,,45,,,,1,1,3,24,
83,1,,,,1,1,1,,45,,,,1,1,3,24,
84,1,,,,1,1,1,,45,,,,1,1,3,24,
85,1,,,,1,1,1,,44,1,,,1,1,2,24,
86,1,,,,1,1,1,,45,,,,1,1,3,24,
87,1,,,,1,1,1,,45,,,,1,1,3,24,
88,1,,,,1,1,1,,45,,,,1,1,3,24,
89,1,,,,1,1,1,,45,,,,2,1,2,24,
90,1,,,,1,1,1,,45,,,,2,1,2,24,
91,1,,,,1,1,1,,45,,,,2,1,2,24,
92,1,,,,1,1,1,,45,,,,1,1,3,24,
93,1,,,,1,1,1,,45,,,,1,1,3,24,
94,1,,,,1,1,1,,45,,,,1,1,3,24,
95,1,,,,1,1,1,,44,1,,,1,1,2,24,
96,1,,,,1,1,1,,44,1,,,1,1,2,24,
97,1,,,,1,1,2,,44,,,,1,2,2,24,
98,1,,,,1,1,2,,44,,,,1,2,2,24,
99,1,,,,1,1,2,,44,,,,1,2,2,24,
100,1,,,,1,1,2,,44,,,,1,2,2,24,
101,1,,,,1,1,2,,44,,,,1,2,2,24,
102,1,,,,1,1,2,,44,,,,1,2,2,24,
103,1,,,,1,1,2,,44,,,,1,2,2,24,
104,1,,,,1,1,2,,44,,,,1,2,2,24,
105,1,,,,1,1,2,,44,,,,1,2,2,24,
106,1,,,,1,1,2,,44,,,,1,2,2,24,
107,1,,,,1,1,2,,44,,,,1,2,2,24,
108,1,,,,1,1,2,,44,,,,1,2,2,24,
109,1,,,,1,1,2,,44,,,,1,2,2,24,
110,1,,,,1,1,2,,44,,,,1,2,2,24,
111,1,,,,1,1,2,,44,,,,1,2,2,24,
112,1,,,,1,1,2,,44,,,,1,2,2,24,
113,1,,,,1,1,2,,44,,,,1,2,2,24,
114,1,,,,1,1,2,,44,,,,1,2,2,24,
115,1,,,,1,1,2,,44,,,,1,2,2,24,
116,1,,,,1,1,2,,44,,,,1,2,2,24,
117,1,,,,1,1,2,,44,,,,1,2,2,24,
118,1,,,,1,1,2,,44,,,,1,2,2,24,
119,1,,,,1,1,2,,44,,,,1,2,2,24,
120,1,,,,1,1,2,,44,,,,1,2,2,24,
121,1,,,,1,1,2,,44,,,,1,2,2,24,
122,1,,,,1,1,2,,44,,,,1,2,2,24,
123,1,,,,1,1,2,,44,,,,1,2,2,24,
124,1,,,,1,1,2,,44,,,,1,2,2,24,
125,1,,,,1,1,2,,44,,,,1,2,2,24,
126,1,,,,1,1,2,,43,1,,,1,2,1,24,
127,1,,,,1,1,2,,44,,,,1,2,2,24,
128,1,,,,1,1,2,,43,1,,,1,2,1,24,
129,1,,,,1,1,2,,44,,,,1,2,2,24,
130,1,,,,1,1,2,,44,,,,1,2,2,24,
131,1,,,,1,1,2,,44,,,,1,2,2,24,
132,1,,,,1,1,2,,44,,,,1,2,2,24,
133,1,,,,1,1,2,,44,,,,1,2,2,24,
134,1,,,,1,1,2,,44,,,,1,2,1,23,1
135,1,,,,1,1,2,,44,,,,1,2,2,24,
136,1,,,,1,1,2,,44,,,,2,2,1,24,
137,1,,,,1,1,2,,44,,,,2,2,1,24,
138,1,,,,1,1,2,,44,,,,2,2,1,24,
139,1,,,,1,1,2,,44,,,,1,2,2,24,
140,1,,,,1,1,2,,44,,,,1,2,2,24,
141,1,,,,1,1,2,,44,,,,1,2,2,24,
142,1,,,,1,1,2,,44,,,,1,2,2,24,
143,1,,,,1,1,2,,44,,,,1,2,2,24,
144,1,,,,1,1,2,,44,,,,1,2,2,24,
145,1,,,,1,1,2,,44,,,,1,2,2,24,
146,1,,,,1,1,2,,44,,,,1,2,2,24,
147,1,,,,1,1,2,,44,,,,1,2,2,24,
148,1,,,,1,1,2,,44,,,,2,2,1,24,
149,1,,,,1,1,2,,44,,,,2,2,1,24,
150,1,,,,1,1,2,,44,,,,2,2,1,24,
151,1,,,,1,1,2,,44,,,,1,2,2,24,
152,1,,,,1,1,2,,44,,,,1,2,2,24,
153,1,,,,1,1,2,,44,,,,1,2,2,24,
154,1,,,,1,1,2,,44,,,,1,2,2,24,
155,1,,,,1,1,2,,43,1,,,1,2,1,24,
156,1,,,,1,1,2,,44,,,,1,2,2,24,
157,1,,,,1,1,2,,44,,,,1,2,2,24,
158,1,,,,1,1,2,,44,,,,1,2,2,24,
159,1,,,,1,1,2,,44,,,,1,2,2,24,
160,1,,,,1,1,2,,44,,,,1,2,2,24,
161,1,,,,1,1,2,,44,,,,1,2,2,24,
162,1,,,,1,1,2,,44,,,,1,2,2,24,
163,1,,,,1,1,2,,44,,,,1,2,2,24,
164,1,,,,1,1,2,,44,,,,2,2,1,24,
165,1,,,,1,1,2,,44,,,,2,2,1,24,
166,1,,,,1,1,2,,44,,,,1,2,2,24,
167,1,,,,1,1,2,,44,,,,1,2,2,24,
168,1,,,,1,1,2,,44,,,,1,2,2,24,
169,1,,,,1,1,2,,44,,,,2,2,1,24,
170,1,,,,1,1,2,,44,,,,2,2,1,24,
171,1,,,,1,1,2,,44,,,,1,2,2,24,
172,1,,,,1,1,2,,44,,,,1,2,2,24,
173,1,,,,1,1,2,,44,,,,1,2,2,24,
